Source;Target;Weight
94;7211;100.0
95;10223;100.0
95;13336;100.0
95;16185;100.0
95;3739;100.0
95;7211;100.0
96;13336;100.0
96;16185;100.0
96;3739;100.0
96;7211;100.0
97;10223;100.0
97;13336;100.0
97;16185;100.0
97;3739;100.0
97;7211;100.0
98;10223;100.0
98;13336;100.0
98;16185;100.0
98;2784;1.0
98;3739;100.0
98;7211;100.0
100;10223;100.0
100;11467;10.0
100;13336;100.0
100;14703;10.0
100;16185;100.0
100;3739;100.0
100;4355;10.0
100;7203;10.0
100;7211;100.0
100;7628;10.0
100;8881;10.0
100;9690;10.0
101;13267;100.0
101;13336;100.0
101;16185;100.0
101;3739;100.0
101;7211;100.0
103;13336;100.0
103;16185;100.0
103;3739;100.0
103;7211;100.0
104;10069;0.0
104;10223;100.0
104;10234;0.0
104;10532;0.0
104;10759;75.0
104;11030;0.0
104;11138;0.0
104;11358;0.0
104;11436;0.0
104;11554;75.0
104;11573;75.0
104;11641;0.0
104;11756;0.0
104;11870;0.0
104;11994;0.0
104;12129;75.0
104;12240;0.0
104;12520;75.0
104;13336;100.0
104;13340;75.0
104;13424;0.0
104;13619;0.0
104;13811;0.0
104;13834;75.0
104;14085;0.0
104;14099;0.0
104;14369;0.0
104;14492;0.0
104;14508;0.0
104;15317;0.0
104;15372;0.0
104;15649;0.0
104;16185;100.0
104;16193;0.0
104;16212;0.0
104;16328;75.0
104;16463;75.0
104;16599;75.0
104;1820;0.0
104;1987;0.0
104;2104;75.0
104;225;0.0
104;2382;75.0
104;2410;0.0
104;2451;0.0
104;296;0.0
104;3321;0.0
104;3341;0.0
104;354;0.0
104;3618;0.0
104;3686;0.0
104;3739;100.0
104;3811;75.0
104;4009;0.0
104;4541;0.0
104;5333;0.0
104;5380;0.0
104;5517;75.0
104;5698;0.0
104;591;0.0
104;5927;0.0
104;6364;0.0
104;6953;0.0
104;7211;100.0
104;7220;0.0
104;7312;0.0
104;7378;0.0
104;7741;0.0
104;8004;0.0
104;8259;0.0
104;8307;0.0
104;8492;0.0
104;8711;0.0
104;8765;0.0
104;8789;0.0
104;8851;0.0
104;8876;0.0
104;8947;0.0
104;9027;0.0
104;9121;0.0
104;9155;0.0
104;9171;0.0
104;9235;75.0
104;9459;0.0
104;9704;75.0
104;979;0.0
105;10223;100.0
105;13336;100.0
105;16185;100.0
105;3739;100.0
105;7211;100.0
106;13336;100.0
106;16185;100.0
106;3739;100.0
106;7211;100.0
108;13267;100.0
108;13336;100.0
108;16185;100.0
108;3739;100.0
108;7211;100.0
109;10223;100.0
109;13336;100.0
109;16185;100.0
109;3739;100.0
109;7211;100.0
110;10223;100.0
110;13336;100.0
110;16185;100.0
110;3739;100.0
110;7211;100.0
111;11323;100.0
111;13336;100.0
111;16185;100.0
111;2439;100.0
111;3739;100.0
111;7211;100.0
112;10223;100.0
112;12591;1.0
112;13336;100.0
112;16185;100.0
112;3739;100.0
112;5011;20.0
112;7211;100.0
113;10223;100.0
113;13336;100.0
113;16185;100.0
113;3739;100.0
113;7211;100.0
114;10223;100.0
114;13336;100.0
114;16185;100.0
114;3739;100.0
114;7211;100.0
115;13336;100.0
115;16185;100.0
115;3739;100.0
115;7211;100.0
116;13267;100.0
116;13336;100.0
116;16185;100.0
116;3739;100.0
116;7211;100.0
117;10240;0.0
